-1.0000000000000000 1 2 3 4 5 6
0.49779882860588036E-001 1 2 3 4 7 8
0.12958675083591578 1 2 5 6 9 10
-0.40246474180437128E-001 1 2 4 5 7 10
-0.40246474180437128E-001 1 2 3 6 8 9
-0.95227464239484166E-002 1 2 3 5 8 10
-0.95227464239484166E-002 1 2 4 6 7 9
-0.16638997492610479E-001 1 4 5 6 10 11
-0.16638997492610479E-001 2 3 5 6 9 12
0.36691907996584307E-002 2 3 4 5 7 12
0.36691907996584307E-002 1 3 4 6 8 11
0.25853738389744533E-001 2 3 5 6 10 11
0.25853738389744533E-001 1 4 5 6 9 12
0.15833551220811010E-001 2 3 4 5 8 11
0.15833551220811010E-001 1 3 4 6 7 12
0.11604689938118124E-001 3 4 5 6 9 10
