-1.0000000000000000 1 2 3 4 5 6
0.79026710506242007E-001 1 2 3 4 7 8
0.80571970978914664E-001 1 2 5 6 9 10
-0.62943309264555297E-001 1 2 4 5 7 10
-0.62943309264555297E-001 1 2 3 6 8 9
-0.13904660457623497E-001 1 2 3 5 8 10
-0.13904660457623497E-001 1 2 4 6 7 9
-0.18215341950064700E-001 1 4 5 6 10 11
-0.18215341950064700E-001 2 3 5 6 9 12
0.18774300945334024E-001 2 3 4 5 7 12
0.18774300945334024E-001 1 3 4 6 8 11
-0.12339199471506266E-002 2 3 5 6 10 11
-0.12339199471506266E-002 1 4 5 6 9 12
-0.18422726878022811E-003 2 3 4 5 8 11
-0.18422726878022811E-003 1 3 4 6 7 12
0.74262535699332055E-002 3 4 5 6 9 10
