-1.0000000000000000 1 2 3 4 5 6
0.25752168706575353E-001 1 2 3 4 7 8
0.21767098868750615E-001 1 2 5 6 9 10
-0.19059853771080007E-001 1 2 4 5 7 10
-0.19059853771080007E-001 1 2 3 6 8 9
0.94096097733033183E-002 1 2 3 5 8 10
0.94096097733033183E-002 1 2 4 6 7 9
0.28749320857695583E-002 1 4 5 6 10 11
0.28749320857695583E-002 2 3 5 6 9 12
-0.32021696045192627E-002 2 3 4 5 7 12
-0.32021696045192627E-002 1 3 4 6 8 11
-0.91449115503531280E-002 2 3 5 6 10 11
-0.91449115503531280E-002 1 4 5 6 9 12
0.87712255847974645E-002 2 3 4 5 8 11
0.87712255847974645E-002 1 3 4 6 7 12
0.76971658625691155E-003 3 4 5 6 9 10
