1.000000000000000 1 2 3 4 5 6 7 8 9 10
-.8700146922102525E-01 1 2 3 4 5 6 7 8 11 12
-.7354557169367973E-01 1 2 3 4 5 6 9 10 13 14
.4014156347817129E-01 1 2 3 4 5 6 8 9 11 14
.4014156347817129E-01 1 2 3 4 5 6 7 10 12 13
-.3225111497889647E-01 1 2 3 4 5 7 8 10 12 15
-.3225111497889647E-01 1 2 3 4 6 7 8 9 11 16
-.1688034268713995E-01 1 2 3 4 5 6 7 9 12 14
-.1688034268713995E-01 1 2 3 4 5 6 8 10 11 13
.3540564514630849E-01 1 2 3 4 5 7 8 10 11 16
.3540564514630849E-01 1 2 3 4 6 7 8 9 12 15
.1553139488803010E-01 1 2 3 4 6 7 9 10 13 16
.1553139488803010E-01 1 2 3 4 5 8 9 10 14 15
.5176002647061832E-02 1 2 3 5 6 7 8 10 12 17
.5176002647061832E-02 1 2 4 5 6 7 8 9 11 18
-.2371378684345079E-01 1 2 3 4 7 8 9 10 11 12
