1.0000000000000000 1 2 3 4 5 6 7 8 9 10
-0.83383551375393120E-001 1 2 3 4 5 6 7 8 11 12
-0.84108916239227782E-001 1 2 3 4 5 6 9 10 13 14
0.49455839663730704E-001 1 2 3 4 5 6 8 9 11 14
0.49455839663730704E-001 1 2 3 4 5 6 7 10 12 13
-0.19185764484514051E-001 1 2 3 4 5 7 8 10 12 15
-0.19185764484514051E-001 1 2 3 4 6 7 8 9 11 16
-0.20671028736471999E-001 1 2 3 4 5 6 7 9 12 14
-0.20671028736471999E-001 1 2 3 4 5 6 8 10 11 13
0.20385882087129870E-001 1 2 3 4 5 7 8 10 11 16
0.20385882087129870E-001 1 2 3 4 6 7 8 9 12 15
0.16598986452857838E-001 1 2 3 4 6 7 9 10 13 16
0.16598986452857838E-001 1 2 3 4 5 8 9 10 14 15
0.19153352331047415E-002 1 2 3 5 6 7 8 10 12 17
0.19153352331047415E-002 1 2 4 5 6 7 8 9 11 18
-0.19616339846664166E-001 1 2 3 4 7 8 9 10 11 12
