-1.0000000000000000 1 2 3 4 5 6 7 8 9 10 11 12 13 14
0.11494444474439926 1 2 3 4 5 6 7 8 9 10 11 12 15 16
0.12605167811689924 1 2 3 4 5 6 7 8 9 10 13 14 17 18
-0.83429908732048433E-001 1 2 3 4 5 6 7 8 9 10 12 13 15 18
-0.83429908732048433E-001 1 2 3 4 5 6 7 8 9 10 11 14 16 17
0.18234909446782164E-001 1 2 3 4 5 6 7 8 9 10 11 13 16 18
0.18234909446782164E-001 1 2 3 4 5 6 7 8 9 10 12 14 15 17
0.14760997075622296E-001 1 2 3 4 5 6 7 8 11 12 13 14 19 20
0.29734765742649834E-001 1 2 3 4 5 6 7 8 10 11 12 13 15 20
0.29734765742649834E-001 1 2 3 4 5 6 7 8 9 11 12 14 16 19
0.61810206030170258E-002 1 2 3 4 5 6 8 9 10 11 12 13 15 22
0.61810206030170258E-002 1 2 3 4 5 6 7 9 10 11 12 14 16 21
-0.35854934267581330E-001 1 2 3 4 5 6 7 8 10 11 12 13 16 19
-0.35854934267581330E-001 1 2 3 4 5 6 7 8 9 11 12 14 15 20
-0.17449018645906821E-001 1 2 3 4 6 7 8 9 10 11 12 13 15 24
-0.17449018645906821E-001 1 2 3 4 5 7 8 9 10 11 12 14 16 23
