-993.89332      (16)  0.012408(80) # RUN1.wfn.casl
-993.89327      (15)  0.012350(51) # RUN1.wfn.1.casl
-993.89344      (16)  0.012392(79) # RUN1.wfn.2.casl
-993.89355      (15)  0.012295(41) # RUN2.wfn.casl
-993.89319      (15)  0.012466(98) # RUN2.wfn.1.casl
-993.89361      (17)  0.012519(84) # RUN3.wfn.casl
-993.89453      (16)  0.011680(87) # RUN3.wfn.1.casl
-993.89789      (15)  0.010016(70) # RUN3.wfn.2.casl
-993.89830      (15)  0.009958(66) # RUN3.wfn.3.casl
-993.89960      (15)  0.009211(73) # RUN3.wfn.4.casl
-993.90514      (10)  0.004497(26) # RUN3.wfn.5.casl
-993.905793     (95) 0.004564(39) # RUN4.wfn.casl
-993.908053     (88) 0.003954(20) # RUN4.wfn.1.casl
-993.908309     (89) 0.003932(28) # RUN4.wfn.2.casl
-993.907996     (91) 0.00407(11)  # RUN4.wfn.3.casl
-993.908777     (87) 0.003673(22) # RUN4.wfn.4.casl
-993.909910     (82) 0.003417(32) # RUN4.wfn.5.casl
-993.910152     (84) 0.003508(69) # RUN4.wfn.6.casl
-993.909959     (84) 0.003541(87) # RUN4.wfn.7.casl
-993.910170     (84) 0.00357(11)  # RUN4.wfn.8.casl
-993.910093     (82) 0.003547(71) # RUN4.wfn.9.casl
-993.910099     (83) 0.003399(24) # RUN4.wfn.10.casl
-993.909895     (82) 0.003407(44) # RUN4.wfn.11.casl
-993.910026     (84) 0.003486(30) # RUN4.wfn.12.casl
-993.909740     (83) 0.003571(49) # RUN5.wfn.casl
-993.909678     (82) 0.003563(37) # RUN5.wfn.1.casl
-993.909836     (82) 0.003584(38) # RUN6.wfn.casl
-993.909675     (82) 0.003607(67) # RUN6.wfn.1.casl
-993.909778     (83) 0.003652(97) # RUN6.wfn.2.casl
-993.909554     (82) 0.003602(61) # RUN6.wfn.3.casl
-993.909692     (82) 0.003581(44) # RUN6.wfn.4.casl
-993.909682     (83) 0.003635(66) # RUN6.wfn.5.casl
-993.909359     (89) 0.003601(50) # RUN7.wfn.casl
-993.909347     (88) 0.003542(58) # RUN7.wfn.1.casl
-993.909613     (90) 0.003578(43) # RUN7.wfn.2.casl
-993.909653     (91) 0.00376(12)  # RUN7.wfn.3.casl
-993.909673     (88) 0.003581(96) # RUN7.wfn.4.casl
-993.909648     (91) 0.003692(82) # RUN7.wfn.5.casl

